Rk_team,Team,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,Rk_opponent,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,champion,season
1.0,Phoenix Suns,82,240.6,40.7,82.8,0.49200000000000005,8.9,21.6,0.41200000000000003,31.8,61.2,0.52,19.9,25.8,0.77,11.1,31.9,43.0,23.3,5.8,5.1,14.8,20.9,110.2,26.0,82,240.6,39.5,87.4,0.452,6.8,19.3,0.355,32.6,68.1,0.479,19.6,25.8,0.76,13.2,29.2,42.3,20.8,7.9,4.5,13.0,21.8,105.3,0,2009-10
2.0,Golden State Warriors,82,240.6,40.6,86.5,0.469,7.7,20.6,0.375,32.9,65.9,0.499,19.9,25.4,0.782,9.2,29.2,38.4,22.4,9.3,4.1,14.7,23.0,108.8,30.0,82,240.6,41.6,85.8,0.485,6.9,18.5,0.375,34.7,67.3,0.515,22.3,29.1,0.767,13.4,34.7,48.1,24.1,7.9,5.0,17.6,21.4,112.4,0,2009-10
3.0,Denver Nuggets,82,241.2,38.1,81.4,0.46799999999999997,6.6,18.5,0.359,31.5,62.9,0.5,23.6,30.6,0.772,10.8,30.5,41.4,21.0,8.3,5.1,13.9,22.5,106.5,20.0,82,241.2,37.7,82.5,0.456,6.4,18.3,0.349,31.3,64.2,0.48700000000000004,20.7,26.9,0.768,11.6,30.6,42.3,21.0,7.0,5.3,15.1,23.7,102.4,0,2009-10
4.0,Utah Jazz,82,240.9,39.4,80.2,0.491,5.4,14.7,0.364,34.0,65.5,0.519,20.2,27.2,0.741,10.6,31.6,42.2,26.7,8.2,4.9,15.2,22.7,104.2,12.0,82,240.9,35.5,78.9,0.449,6.7,19.0,0.354,28.7,59.9,0.48,21.2,27.9,0.762,10.2,29.0,39.2,19.9,7.7,5.4,15.1,22.2,98.9,0,2009-10
5.0,Toronto Raptors,82,241.2,39.0,80.9,0.48200000000000004,6.3,17.0,0.371,32.7,63.8,0.512,19.7,25.8,0.764,9.8,30.6,40.4,22.0,5.7,4.7,13.4,22.2,104.1,27.0,82,241.2,39.0,83.2,0.46799999999999997,7.4,20.3,0.366,31.5,62.9,0.501,20.5,26.2,0.784,11.4,29.9,41.3,23.0,7.1,4.4,12.7,21.1,105.9,0,2009-10
6.0,Orlando Magic,82,240.6,36.6,78.0,0.47,10.3,27.3,0.375,26.4,50.6,0.521,19.2,26.5,0.7240000000000001,9.9,33.4,43.2,19.7,6.2,5.6,14.1,19.9,102.8,4.0,82,240.6,36.0,82.2,0.43799999999999994,6.4,17.5,0.363,29.7,64.7,0.45899999999999996,16.8,22.3,0.754,9.8,30.3,40.0,18.9,6.7,3.5,12.8,22.2,95.3,0,2009-10
7.0,Memphis Grizzlies,82,242.7,39.3,83.8,0.469,4.2,12.4,0.337,35.1,71.4,0.49200000000000005,19.7,26.9,0.733,13.0,30.4,43.5,18.8,7.9,4.9,15.2,20.2,102.5,24.0,82,242.7,40.0,83.5,0.478,7.0,19.7,0.354,33.0,63.8,0.517,17.1,22.7,0.755,11.1,28.6,39.7,22.9,7.7,6.1,14.2,22.4,104.0,0,2009-10
8.0,Houston Rockets,82,242.7,37.7,84.4,0.447,7.9,22.4,0.35100000000000003,29.9,62.0,0.48100000000000004,19.0,24.7,0.772,11.8,30.1,42.0,21.8,7.1,3.9,14.5,20.9,102.4,22.0,82,242.7,39.5,83.0,0.475,6.0,16.4,0.364,33.5,66.7,0.503,17.9,23.4,0.764,10.7,32.1,42.8,20.9,7.3,6.5,14.7,22.4,102.7,0,2009-10
9.0,New York Knicks,82,242.4,38.1,83.9,0.455,9.1,26.2,0.34600000000000003,29.1,57.7,0.504,16.8,21.5,0.782,10.2,30.2,40.4,21.6,7.1,3.7,14.0,20.0,102.1,28.0,82,242.4,40.9,84.2,0.486,6.7,19.2,0.35200000000000004,34.1,65.0,0.525,17.4,23.1,0.754,11.7,33.2,44.9,21.0,7.1,4.5,14.4,19.2,105.9,0,2009-10
10.0,Cleveland Cavaliers,82,241.2,37.8,77.9,0.485,7.3,19.3,0.381,30.5,58.6,0.52,19.1,26.6,0.72,9.6,32.8,42.5,22.4,6.9,5.2,13.9,19.4,102.1,6.0,82,241.2,35.8,80.9,0.442,6.4,18.4,0.34700000000000003,29.4,62.5,0.47100000000000003,17.6,23.3,0.757,9.7,28.9,38.5,20.3,6.6,4.0,12.7,20.8,95.6,0,2009-10
